round,client_id,eval_loss,eval_acc,avg_loss,avg_acc
1,client_2,1.8489332497119904,0.5688073394495413,,
1,client_9,1.8485946655273438,0.5841584158415841,,
1,client_8,1.8727517127990723,0.5520833333333334,,
1,client_3,2.0289689898490906,0.4519230769230769,,
1,client_6,1.9271647036075592,0.5,,
1,client_5,1.8925517002741497,0.5494505494505495,,
1,client_7,2.0216386318206787,0.4056603773584906,,
1,client_0,1.7636331021785736,0.5612244897959183,,
1,client_1,1.9015884399414062,0.5841584158415841,,
1,client_4,1.8871252834796906,0.5784313725490197,,
1,client_10,2.0523123145103455,0.48,,
1,client_17,1.8299489319324493,0.6138613861386139,,
1,client_14,1.886629730463028,0.5918367346938775,,
1,client_18,1.8222389618555705,0.6276595744680851,,
1,client_11,1.8259871403376262,0.574468085106383,,
1,client_13,1.8271862665812175,0.5578947368421052,,
1,client_12,1.8693203926086426,0.5377358490566038,,
1,client_19,1.9384706914424896,0.49523809523809526,,
1,client_16,1.8914168278376262,0.46808510638297873,,
1,client_15,1.803164541721344,0.5959595959595959,,
1,avg,,,1.8882975979998067,0.5430430430430431
2,client_8,0.5192367931207021,0.8333333333333334,,
2,client_10,1.726102888584137,0.77,,
2,client_7,1.3215690851211548,0.7358490566037735,,
2,client_9,0.47728464007377625,0.900990099009901,,
2,client_0,0.3674845024943352,0.8673469387755102,,
2,client_2,0.9505066126585007,0.7889908256880734,,
2,client_5,0.8464151620864868,0.8241758241758241,,
2,client_4,0.4244435727596283,0.8823529411764706,,
2,client_3,0.9408752769231796,0.7115384615384616,,
2,client_1,0.41929467394948006,0.8910891089108911,,
2,client_6,0.8526583462953568,0.7307692307692307,,
2,client_17,0.5393958687782288,0.8316831683168316,,
2,client_15,0.4757458567619324,0.8282828282828283,,
2,client_12,0.5083908066153526,0.8679245283018868,,
2,client_13,0.3988965352376302,0.8631578947368421,,
2,client_19,0.6312143728137016,0.7523809523809524,,
2,client_16,0.5405490100383759,0.8829787234042553,,
2,client_11,0.4259542127450307,0.9042553191489362,,
2,client_14,0.463085375726223,0.8673469387755102,,
2,client_18,0.42094279328982037,0.8723404255319149,,
2,avg,,,0.6681698188887991,0.8288288288288288
3,client_5,0.7661295235157013,0.9010989010989011,,
3,client_0,0.2655893824994564,0.8979591836734694,,
3,client_2,0.9037057459354401,0.8440366972477065,,
3,client_1,0.2189862672239542,0.9603960396039604,,
3,client_8,0.289079209168752,0.90625,,
3,client_4,0.2287636362016201,0.9509803921568627,,
3,client_6,0.6735071316361427,0.8173076923076923,,
3,client_10,2.089623659849167,0.79,,
3,client_7,1.395754560828209,0.7830188679245284,,
3,client_9,0.20479265972971916,0.9504950495049505,,
3,client_3,0.8601553589105606,0.8365384615384616,,
3,client_15,0.3352999649941921,0.898989898989899,,
3,client_12,0.25845687836408615,0.9339622641509434,,
3,client_14,0.19856516178697348,0.9387755102040817,,
3,client_18,0.2547563314437866,0.925531914893617,,
3,client_16,0.44129366676012677,0.925531914893617,,
3,client_11,0.26216066380341846,0.9574468085106383,,
3,client_17,0.3041531443595886,0.9504950495049505,,
3,client_19,0.37731822207570076,0.8571428571428571,,
3,client_13,0.1965752194325129,0.9368421052631579,,
3,avg,,,0.5323747387115493,0.8968968968968969
4,client_9,0.15507126227021217,0.9603960396039604,,
4,client_4,0.12553928792476654,0.9509803921568627,,
4,client_3,0.6384342685341835,0.875,,
4,client_5,0.8739743232727051,0.9120879120879121,,
4,client_8,0.2058004786570867,0.9479166666666666,,
4,client_6,0.52781081199646,0.8653846153846154,,
4,client_2,1.0097170770168304,0.8440366972477065,,
4,client_10,2.7582384049892426,0.84,,
4,client_0,0.2061372548341751,0.9387755102040817,,
4,client_1,0.16519423015415668,0.9405940594059405,,
4,client_7,1.2312830984592438,0.8301886792452831,,
4,client_13,0.1171715259552002,0.9789473684210527,,
4,client_18,0.17375142872333527,0.9574468085106383,,
4,client_12,0.11415685899555683,0.9811320754716981,,
4,client_11,0.20905646681785583,0.9468085106382979,,
4,client_16,0.4487815524140994,0.925531914893617,,
4,client_15,0.4379594326019287,0.9090909090909091,,
4,client_14,0.12801836803555489,0.9693877551020408,,
4,client_19,0.24614732712507248,0.9333333333333333,,
4,client_17,0.3236698545515537,0.9504950495049505,,
4,avg,,,0.5095953552709929,0.9219219219219219
5,client_9,0.13204515725374222,0.9405940594059405,,
5,client_8,0.20050001641114554,0.9791666666666666,,
5,client_2,1.0567255467176437,0.8256880733944955,,
5,client_10,1.8350119590759277,0.83,,
5,client_4,0.10647228662855923,0.9509803921568627,,
5,client_5,1.145090937614441,0.8901098901098901,,
5,client_0,0.15064149629324675,0.9489795918367347,,
5,client_1,0.15096258837729692,0.9504950495049505,,
5,client_3,0.572995737195015,0.8653846153846154,,
5,client_7,1.393477350473404,0.839622641509434,,
5,client_6,0.3727879598736763,0.8653846153846154,,
5,client_15,0.2719170395284891,0.9090909090909091,,
5,client_19,0.17677902523428202,0.9238095238095239,,
5,client_17,0.209029883146286,0.9504950495049505,,
5,client_13,0.12765789777040482,0.9789473684210527,,
5,client_16,0.36189909279346466,0.9468085106382979,,
5,client_18,0.1629671628276507,0.9361702127659575,,
5,client_11,0.12439683824777603,0.9680851063829787,,
5,client_14,0.09587547648698092,0.9795918367346939,,
5,client_12,0.1298651248216629,0.9622641509433962,,
5,avg,,,0.443106014526772,0.9209209209209209
6,client_2,1.0321246534585953,0.8440366972477065,,
6,client_7,1.5494721829891205,0.8584905660377359,,
6,client_6,0.40421412140130997,0.8942307692307693,,
6,client_9,0.11735201347619295,0.9702970297029703,,
6,client_0,0.2714312160387635,0.9591836734693877,,
