round,client_id,eval_loss,eval_acc,avg_loss,avg_acc
1,client_8,1.9662360350290935,0.5520833333333334,,
1,client_10,2.041997402906418,0.42,,
1,client_1,1.9907546639442444,0.5544554455445545,,
1,client_4,1.9682137668132782,0.5392156862745098,,
1,client_7,2.067241609096527,0.4716981132075472,,
1,client_5,2.013248085975647,0.4725274725274725,,
1,client_9,1.9679365754127502,0.5544554455445545,,
1,client_3,2.0816789269447327,0.47115384615384615,,
1,client_0,1.8995625376701355,0.5,,
1,client_6,2.099959224462509,0.5288461538461539,,
1,client_2,2.0443049669265747,0.44036697247706424,,
1,client_16,1.9756278196970622,0.5,,
1,client_11,1.9625049034754436,0.5,,
1,client_12,1.987248808145523,0.5188679245283019,,
1,client_17,1.9172492623329163,0.5643564356435643,,
1,client_18,1.962829867998759,0.5212765957446809,,
1,client_14,1.9279271066188812,0.5612244897959183,,
1,client_15,1.969937413930893,0.47474747474747475,,
1,client_19,2.0340540409088135,0.5047619047619047,,
1,client_13,1.9450571139653523,0.631578947368421,,
1,avg,,,1.9925183866584462,0.5135135135135135
2,client_12,0.5002693608403206,0.8962264150943396,,
2,client_0,0.39670173823833466,0.8571428571428571,,
2,client_9,0.44052260369062424,0.8811881188118812,,
2,client_11,0.4598059256871541,0.8829787234042553,,
2,client_7,1.6901300549507141,0.6509433962264151,,
2,client_3,0.9240283519029617,0.7884615384615384,,
2,client_1,0.4101674184203148,0.9306930693069307,,
2,client_6,0.9950353354215622,0.6730769230769231,,
2,client_4,0.4951452761888504,0.8627450980392157,,
2,client_10,1.6008797883987427,0.65,,
2,client_8,0.48169873158137005,0.8645833333333334,,
2,client_5,1.574336568514506,0.6593406593406593,,
2,client_2,1.4514011442661285,0.7155963302752294,,
2,client_17,0.6970291435718536,0.8712871287128713,,
2,client_16,0.5625782907009125,0.8829787234042553,,
2,client_19,0.7159801349043846,0.7238095238095238,,
2,client_13,0.3919851581255595,0.9263157894736842,,
2,client_15,0.567253015935421,0.898989898989899,,
2,client_18,0.4212488830089569,0.8829787234042553,,
2,client_14,0.5244689434766769,0.8979591836734694,,
2,avg,,,0.7712405485026153,0.8183183183183184
3,client_2,1.756791427731514,0.7431192660550459,,
3,client_8,0.25908788045247394,0.9375,,
3,client_7,1.9892666041851044,0.6886792452830188,,
3,client_6,0.7185277938842773,0.7884615384615384,,
3,client_3,0.7769036516547203,0.7980769230769231,,
3,client_0,0.21314603835344315,0.8979591836734694,,
3,client_5,1.703708012898763,0.7142857142857143,,
3,client_10,2.0568607449531555,0.66,,
3,client_1,0.18459071591496468,0.9405940594059405,,
3,client_4,0.25390930846333504,0.9411764705882353,,
3,client_9,0.1798933632671833,0.9702970297029703,,
3,client_12,0.23432569950819016,0.9433962264150944,,
3,client_11,0.2716038078069687,0.9042553191489362,,
3,client_19,0.4153964091092348,0.8571428571428571,,
3,client_16,0.39734340210755664,0.9148936170212766,,
3,client_15,0.3887150138616562,0.9191919191919192,,
3,client_13,0.19328739245732626,0.968421052631579,,
3,client_17,0.30051515251398087,0.9405940594059405,,
3,client_14,0.21942217648029327,0.9285714285714286,,
3,client_18,0.2564467787742615,0.9361702127659575,,
3,avg,,,0.6462542361411718,0.8683683683683684
4,client_8,0.12226387113332748,0.96875,,
4,client_6,0.7172297760844231,0.8269230769230769,,
4,client_9,0.1465216502547264,0.9504950495049505,,
4,client_10,2.377627968788147,0.71,,
4,client_5,1.7711731990178425,0.7802197802197802,,
4,client_4,0.14129499159753323,0.9607843137254902,,
4,client_3,0.8216413110494614,0.8653846153846154,,
4,client_0,0.217641556635499,0.9183673469387755,,
4,client_15,0.6277118660509586,0.9090909090909091,,
4,client_7,2.334417402744293,0.6792452830188679,,
4,client_11,0.17095146576563516,0.9361702127659575,,
4,client_2,1.82229882478714,0.7339449541284404,,
4,client_13,0.17160404225190481,0.9578947368421052,,
4,client_14,0.1676757149398327,0.9489795918367347,,
4,client_18,0.1497406785686811,0.9574468085106383,,
4,client_1,0.10042236931622028,0.9900990099009901,,
4,client_12,0.09968039393424988,0.9811320754716981,,
4,client_19,0.3618755368515849,0.8666666666666667,,
4,client_16,0.3202061355113983,0.9468085106382979,,
4,client_17,0.294317239895463,0.9504950495049505,,
4,avg,,,0.6561022114220287,0.8903903903903904
5,client_0,0.14809708762913942,0.9183673469387755,,
5,client_6,0.5568958893418312,0.8076923076923077,,
5,client_3,0.667368944734335,0.9038461538461539,,
5,client_9,0.11941251158714294,0.9801980198019802,,
5,client_7,2.405693620443344,0.6792452830188679,,
5,client_5,2.163657267888387,0.7582417582417582,,
5,client_4,0.10793787054717541,0.9509803921568627,,
5,client_8,0.18517989416917166,0.9583333333333334,,
5,client_1,0.13362682424485683,0.9603960396039604,,
5,client_15,0.496913805603981,0.9393939393939394,,
5,client_12,0.11104011163115501,0.9716981132075472,,
5,client_11,0.12168355286121368,0.9680851063829787,,
5,client_2,1.9735510498285294,0.7522935779816514,,
5,client_13,0.13041961441437402,0.968421052631579,,
5,client_14,0.11123645678162575,0.9795918367346939,,
5,client_10,2.7334822714328766,0.71,,
5,client_17,0.19399206899106503,0.9702970297029703,,
5,client_19,0.31277123745530844,0.8857142857142857,,
5,client_18,0.148387148976326,0.9468085106382979,,
5,client_16,0.25306787217656773,0.9361702127659575,,
5,avg,,,0.6618656402332277,0.8958958958958959
6,client_3,0.521517027169466,0.9230769230769231,,
6,client_0,0.1629038435057737,0.9285714285714286,,
6,client_5,2.3150874773661294,0.7582417582417582,,
6,client_4,0.10720421629957855,0.9607843137254902,,
6,client_6,0.42346615716814995,0.875,,
6,client_9,0.07515528274234384,0.9702970297029703,,
6,client_10,2.981581389904022,0.72,,
6,client_1,0.07625849032774568,0.9900990099009901,,
6,client_8,0.093622587621212,0.96875,,
6,client_2,2.237901598215103,0.7522935779816514,,
6,client_7,2.6864897906780243,0.6886792452830188,,
6,client_11,0.13448720425367355,0.9468085106382979,,
6,client_19,0.25515598617494106,0.8952380952380953,,
6,client_12,0.10001133847981691,0.9622641509433962,,
6,client_14,0.07026929594576359,0.9897959183673469,,
6,client_17,0.19497151672840118,0.9702970297029703,,
6,client_15,0.25155065953731537,0.9090909090909091,,
6,client_13,0.09704883893330891,0.9789473684210527,,
6,client_18,0.10969048490126927,0.9787234042553191,,
6,client_16,0.26731180027127266,0.9468085106382979,,
6,avg,,,0.6672486338615579,0.9044044044044044
